fid, median_age_of_earners_years_2014_15, median_aud_2011_12, sum_aud_2016_17, sum_aud_2011_12, median_aud_2014_15, median_age_of_earners_years_2013_14, median_age_of_earners_years_2012_13, median_age_of_earners_years_2017_18, median_aud_2013_14, sum_aud_2014_15, earners_persons_2011_12, median_aud_2015_16, mean_aud_2013_14, median_age_of_earners_years_2016_17, median_age_of_earners_years_2015_16, median_aud_2016_17, mean_aud_2012_13, mean_aud_2011_12, earners_persons_2015_16, median_aud_2017_18, earners_persons_2013_14, mean_aud_2016_17, sum_aud_2012_13, mean_aud_2015_16, sa2_code, median_age_of_earners_years_2011_12, earners_persons_2012_13, sa2_name, mean_aud_2014_15, median_aud_2012_13, sum_aud_2015_16, mean_aud_2017_18, earners_persons_2014_15, earners_persons_2017_18, earners_persons_2016_17, sum_aud_2013_14, sum_aud_2017_18
661,54.0,31865.0,1.46761979E8,1.16332418E8,33881.0,54.0,54.0,55.0,33540.0,1.35263517E8,2928.0,34299.0,42348.0,55.0,54.0,35927.0,41478.0,39731.0,3140.0,36444.0,3075.0,45451.0,1.23644633E8,43640.0,"205021086",54.0,2981.0,"Paynesville",42954.0,32673.0,1.37029462E8,45800.0,3149.0,3321.0,3229.0,1.30221593E8,1.5210238E8
825,40.0,39190.0,1.49377288E8,1.1046894E8,41979.0,40.0,41.0,39.0,41394.0,1.23760534E8,2500.0,44034.0,46872.0,40.0,40.0,47312.0,45782.0,44188.0,2629.0,49025.0,2546.0,53617.0,1.15140715E8,50759.0,"210031440",40.0,2515.0,"Hadfield",47418.0,40695.0,1.33444502E8,55674.0,2610.0,2971.0,2786.0,1.19335033E8,1.6540805E8
662,51.0,31121.0,2.17867635E8,1.88622692E8,33707.0,51.0,51.0,52.0,32280.0,2.09375682E8,4756.0,33109.0,42784.0,51.0,51.0,33966.0,37098.0,39660.0,4721.0,34854.0,4657.0,44847.0,1.72432991E8,45396.0,"205031087",50.0,4648.0,"Foster",44116.0,29616.0,2.14316609E8,44045.0,4746.0,4916.0,4858.0,1.99246828E8,2.16527549E8
663,61.0,13906.0,1641821.0,1442603.0,15226.0,59.0,56.0,57.0,14316.0,1340824.0,56.0,17860.0,20473.0,56.0,59.0,17477.0,22575.0,25761.0,62.0,18177.0,49.0,27364.0,1331939.0,32979.0,"205031088",56.0,59.0,"French Island",22726.0,12370.0,2044708.0,32022.0,59.0,53.0,60.0,1003193.0,1697159.0
956,43.0,38711.0,4.0880743E7,3.9798468E7,38717.0,43.0,43.0,35.0,40111.0,3.9355483E7,899.0,39657.0,46375.0,41.0,41.0,43924.0,46831.0,44270.0,961.0,48697.0,900.0,47870.0,4.2381982E7,45895.0,"213041359",43.0,905.0,"Rockbank - Mount Cottrell",44269.0,39709.0,4.4105301E7,62969.0,889.0,2188.0,854.0,4.1737305E7,1.37776845E8
990,49.0,30992.0,9.7092705E7,7.5997561E7,35932.0,49.0,49.0,50.0,35709.0,8.4343822E7,1812.0,35444.0,47845.0,49.0,49.0,40640.0,43026.0,41941.0,1832.0,41086.0,1796.0,52625.0,7.8006576E7,43248.0,"215011387",49.0,1813.0,"Ararat Region",46190.0,33381.0,7.9230827E7,50571.0,1826.0,1878.0,1845.0,8.592914E7,9.4973125E7
716,33.0,47221.0,3.97299391E8,2.33680842E8,51067.0,34.0,33.0,33.0,50680.0,2.88455581E8,3824.0,53828.0,64475.0,33.0,33.0,56825.0,62028.0,61109.0,5106.0,60589.0,4052.0,69726.0,2.4091665E8,67310.0,"206071141",33.0,3884.0,"Collingwood",64144.0,48216.0,3.43683439E8,73036.0,4497.0,6027.0,5698.0,2.61252802E8,4.40190063E8
665,48.0,37027.0,3.10730924E8,2.74540986E8,38983.0,47.0,47.0,48.0,38042.0,2.99772831E8,6163.0,38897.0,47549.0,48.0,48.0,39305.0,43732.0,44547.0,6177.0,40948.0,6095.0,49073.0,2.67641424E8,48679.0,"205031090",47.0,6120.0,"Leongatha",48935.0,35667.0,3.00689367E8,50610.0,6126.0,6431.0,6332.0,2.89813966E8,3.25475119E8
666,49.0,32521.0,2.70937308E8,2.07953616E8,33348.0,49.0,48.0,49.0,32491.0,2.34713851E8,5047.0,35514.0,41917.0,49.0,49.0,35931.0,40773.0,41203.0,5648.0,36813.0,5257.0,45021.0,2.07858574E8,44175.0,"205031091",48.0,5098.0,"Phillip Island",42839.0,32447.0,2.49501165E8,46341.0,5479.0,6338.0,6018.0,2.20358999E8,2.93706183E8
667,null,null,477475.0,null,null,null,null,44.0,null,null,null,null,null,41.0,null,48294.0,null,null,null,61865.0,null,59684.0,null,null,"205031092",null,null,"Wilsons Promontory",null,null,null,70567.0,null,10.0,8.0,null,705669.0
995,48.0,37698.0,2.09307372E8,1.93415618E8,39316.0,48.0,47.0,48.0,39586.0,1.99144531E8,4452.0,39828.0,44953.0,47.0,48.0,40395.0,43786.0,43445.0,4299.0,42677.0,4359.0,47333.0,1.92134466E8,45445.0,"215011392",47.0,4388.0,"Stawell",45332.0,37868.0,1.953698E8,48418.0,4393.0,4552.0,4422.0,1.95948789E8,2.20397672E8
996,51.0,34982.0,7.9082449E7,6.3828964E7,35643.0,51.0,50.0,51.0,33214.0,6.6982946E7,1620.0,36974.0,40470.0,51.0,51.0,41488.0,38588.0,39401.0,1524.0,41948.0,1591.0,49644.0,6.2590031E7,43613.0,"215011393",50.0,1622.0,"West Wimmera",41891.0,31995.0,6.6465939E7,50581.0,1599.0,1597.0,1593.0,6.4387901E7,8.077759E7
826,44.0,45706.0,4.73442216E8,3.8568529E8,48672.0,43.0,43.0,44.0,47473.0,4.29267721E8,7232.0,50417.0,56560.0,44.0,44.0,51489.0,55429.0,53330.0,7556.0,53005.0,7282.0,60473.0,4.01858015E8,59327.0,"210041240",43.0,7250.0,"Sunbury",57628.0,47171.0,4.48271319E8,62313.0,7449.0,8035.0,7829.0,4.11869098E8,5.006821E8
827,42.0,45519.0,9.23288184E8,7.27754926E8,48592.0,42.0,42.0,41.0,47757.0,8.25071608E8,14078.0,50267.0,54450.0,41.0,42.0,50727.0,53352.0,51694.0,15271.0,53013.0,14324.0,57771.0,7.50128862E8,57266.0,"210041241",41.0,14060.0,"Sunbury - South",55400.0,46937.0,8.74501753E8,60086.0,14893.0,16703.0,15982.0,7.79936259E8,1.003620963E9
717,34.0,47716.0,5.69485085E8,3.89615373E8,52400.0,34.0,34.0,35.0,50721.0,4.67518359E8,5860.0,53983.0,72296.0,34.0,35.0,54622.0,70405.0,66487.0,6511.0,58258.0,6181.0,80755.0,4.29328335E8,76425.0,"206071142",35.0,6098.0,"Fitzroy",72607.0,48933.0,4.97600311E8,83189.0,6439.0,7083.0,7052.0,4.46864166E8,5.89228908E8
970,35.0,52709.0,5.59100895E8,2.68432648E8,54115.0,35.0,34.0,37.0,52995.0,4.37315546E8,4681.0,55248.0,59431.0,36.0,36.0,55310.0,59306.0,57345.0,7801.0,57871.0,6404.0,63737.0,3.29921155E8,62959.0,"213051466",34.0,5563.0,"Point Cook - South",61249.0,53187.0,4.91141554E8,65867.0,7140.0,9319.0,8772.0,3.80595475E8,6.13810214E8
1000,49.0,33512.0,9.7024754E7,7.9323925E7,40017.0,49.0,49.0,49.0,34128.0,9.1954139E7,2041.0,37943.0,39143.0,49.0,48.0,39705.0,37101.0,38865.0,1880.0,42045.0,2048.0,48610.0,7.5575277E7,45361.0,"215021398",49.0,2037.0,"Mildura Region",45703.0,32262.0,8.5278353E7,50768.0,2012.0,2039.0,1996.0,8.0164215E7,1.03515326E8
1001,45.0,34801.0,1.3540386E8,1.07496407E8,38564.0,45.0,45.0,44.0,38028.0,1.29925192E8,2887.0,39412.0,41675.0,44.0,43.0,40387.0,40200.0,37235.0,2769.0,42248.0,3002.0,45331.0,1.1541538E8,42842.0,"215021399",45.0,2871.0,"Red Cliffs",42376.0,36770.0,1.18629064E8,45559.0,3066.0,3024.0,2987.0,1.25108214E8,1.37768942E8
1002,41.0,36766.0,4.75830429E8,3.69580916E8,39739.0,41.0,41.0,42.0,38765.0,4.2078068E8,8642.0,40723.0,45885.0,42.0,42.0,41417.0,44781.0,42766.0,9394.0,43297.0,8871.0,48629.0,3.84980939E8,47607.0,"215021469",40.0,8597.0,"Mildura - North",46733.0,38167.0,4.47216807E8,50647.0,9004.0,9756.0,9785.0,4.07049638E8,4.94113188E8
674,53.0,19472.0,925685.0,742437.0,22526.0,52.0,52.0,53.0,24421.0,977559.0,34.0,18714.0,29169.0,54.0,54.0,26350.0,18343.0,21836.0,27.0,18835.0,34.0,30856.0,678679.0,21788.0,"205051099",54.0,37.0,"Alps - West",26421.0,17952.0,588268.0,27804.0,37.0,23.0,30.0,991762.0,639491.0
675,49.0,36150.0,1.20777328E8,9.4461233E7,41478.0,49.0,49.0,50.0,39461.0,1.1623205E8,1947.0,40033.0,54142.0,50.0,50.0,40383.0,50421.0,48516.0,2095.0,40507.0,1932.0,55479.0,9.8068806E7,53852.0,"205051100",49.0,1945.0,"Longford - Loch Sport",57032.0,36170.0,1.12819805E8,53400.0,2038.0,2220.0,2177.0,1.0460327E8,1.18548618E8
676,46.0,37684.0,3.9231622E8,3.43291135E8,41894.0,46.0,46.0,46.0,40172.0,3.96153528E8,7298.0,41606.0,49793.0,46.0,46.0,41980.0,47223.0,47039.0,7625.0,43501.0,7361.0,51056.0,3.42978487E8,51220.0,"205051101",46.0,7263.0,"Maffra",52160.0,37337.0,3.90552616E8,52197.0,7595.0,7703.0,7684.0,3.66528592E8,4.0207686E8
755,40.0,45871.0,2.86183161E8,2.1067173E8,51238.0,40.0,40.0,39.0,48557.0,2.55216099E8,3798.0,52498.0,59027.0,39.0,40.0,52729.0,56837.0,55469.0,4243.0,52692.0,4069.0,64894.0,2.22742436E8,63361.0,"208021180",39.0,3919.0,"Hughesdale",61188.0,47338.0,2.68841521E8,66808.0,4171.0,4528.0,4410.0,2.40181376E8,3.0250783E8
677,45.0,39323.0,1.11271708E8,1.00385631E8,42225.0,45.0,45.0,45.0,39994.0,1.16255234E8,2107.0,41486.0,49586.0,45.0,45.0,40634.0,44057.0,47644.0,2195.0,42172.0,2158.0,48697.0,9.3577115E7,50816.0,"205051102",45.0,2124.0,"Rosedale",52819.0,35944.0,1.11541905E8,50211.0,2201.0,2238.0,2285.0,1.07006803E8,1.12371107E8
678,43.0,40768.0,4.59524265E8,4.13675611E8,44257.0,44.0,44.0,44.0,43952.0,4.67689684E8,7794.0,44680.0,57487.0,44.0,44.0,45220.0,55468.0,53076.0,7907.0,46718.0,7723.0,58241.0,4.28105698E8,59544.0,"205051103",43.0,7718.0,"Sale",59059.0,42088.0,4.70813192E8,59498.0,7919.0,8041.0,7890.0,4.43972831E8,4.78421215E8
679,52.0,34037.0,1.21062686E8,1.20329111E8,37337.0,51.0,50.0,52.0,35833.0,1.49295354E8,2795.0,36367.0,55079.0,51.0,51.0,35388.0,43208.0,43052.0,2721.0,38003.0,2726.0,44023.0,1.18302279E8,45827.0,"205051104",50.0,2738.0,"Yarram",54112.0,32420.0,1.24695566E8,45840.0,2759.0,2787.0,2750.0,1.50146233E8,1.27756326E8
997,51.0,36984.0,1.83042838E8,1.76796108E8,34832.0,50.0,50.0,51.0,41262.0,1.47256468E8,3813.0,33733.0,53491.0,51.0,51.0,40710.0,52964.0,46367.0,3416.0,46030.0,3737.0,50845.0,1.99725813E8,38594.0,"215011394",50.0,3771.0,"Yarriambiack",40333.0,40319.0,1.31836089E8,58228.0,3651.0,3602.0,3600.0,1.99897718E8,2.0973615E8
583,42.0,38171.0,3.3062831E8,2.89575531E8,41631.0,42.0,41.0,42.0,40682.0,3.11252484E8,6945.0,42574.0,44267.0,42.0,42.0,42909.0,43593.0,41696.0,6907.0,45002.0,6775.0,47545.0,2.96476201E8,47310.0,"201011008",41.0,6801.0,"Wendouree - Miners Rest",45558.0,39823.0,3.26767334E8,49104.0,6832.0,7151.0,6954.0,2.99906589E8,3.51144399E8
584,46.0,43403.0,2.0099894E8,1.54622374E8,45849.0,46.0,45.0,45.0,45541.0,1.76100489E8,3079.0,46549.0,52574.0,46.0,46.0,48865.0,51399.0,50218.0,3268.0,50002.0,3104.0,57510.0,1.5841089E8,55485.0,"201021009",45.0,3082.0,"Bacchus Marsh Region",54168.0,43289.0,1.81326174E8,66628.0,3251.0,3501.0,3495.0,1.63191026E8,2.33266206E8
738,45.0,42537.0,3.63560686E8,3.06426007E8,46140.0,45.0,44.0,45.0,45088.0,3.51598492E8,5748.0,46584.0,57535.0,45.0,45.0,46228.0,56287.0,53310.0,5836.0,47174.0,5745.0,60483.0,3.20556371E8,60600.0,"207031162",44.0,5695.0,"Blackburn South",59152.0,43941.0,3.53660262E8,61704.0,5944.0,6167.0,6011.0,3.3054052E8,3.80528502E8
998,46.0,37325.0,1.97254976E8,1.38725813E8,41609.0,45.0,45.0,45.0,39902.0,1.7077227E8,3177.0,42622.0,47422.0,45.0,45.0,43111.0,46367.0,43666.0,3349.0,45791.0,3296.0,52869.0,1.51157058E8,52071.0,"215021395",45.0,3260.0,"Irymple",49328.0,38461.0,1.74384815E8,55398.0,3462.0,3843.0,3731.0,1.56302004E8,2.12895766E8
999,46.0,33279.0,1.14887025E8,9.0948988E7,38239.0,46.0,46.0,46.0,36762.0,1.04774188E8,2397.0,38952.0,41105.0,46.0,45.0,40621.0,39557.0,37943.0,2328.0,42744.0,2376.0,45428.0,9.5331288E7,44622.0,"215021396",46.0,2410.0,"Merbein",42870.0,35093.0,1.03880329E8,46796.0,2444.0,2588.0,2529.0,9.7666322E7,1.2110933E8
1015,44.0,35322.0,1.58778675E8,1.30352912E8,39953.0,44.0,44.0,45.0,38020.0,1.47725009E8,3197.0,41362.0,44662.0,44.0,44.0,42445.0,42150.0,40774.0,3165.0,43115.0,3148.0,49203.0,1.32561481E8,48271.0,"216021411",44.0,3145.0,"Cobram",47091.0,36610.0,1.52776684E8,49449.0,3137.0,3233.0,3227.0,1.40594886E8,1.59867382E8
585,48.0,36058.0,2.07139376E8,1.6693448E8,38403.0,48.0,48.0,48.0,37873.0,1.83674914E8,3829.0,39000.0,45298.0,48.0,48.0,40280.0,44973.0,43597.0,3944.0,41021.0,3936.0,50497.0,1.73821645E8,48087.0,"201021010",47.0,3865.0,"Creswick - Clunes",45965.0,37461.0,1.89657072E8,51504.0,3996.0,4149.0,4102.0,1.78292093E8,2.1368976E8
746,48.0,50302.0,9.61509068E8,7.51501613E8,55531.0,48.0,47.0,48.0,53338.0,8.88683532E8,9290.0,57992.0,85995.0,48.0,48.0,59126.0,82818.0,80894.0,9874.0,59841.0,9585.0,95730.0,7.82797184E8,92593.0,"208011170",47.0,9452.0,"Brighton East",90497.0,51748.0,9.14268059E8,100390.0,9820.0,10278.0,10044.0,8.24263367E8,1.031808263E9
586,50.0,32876.0,2.53625202E8,1.95078972E8,35251.0,50.0,50.0,51.0,33680.0,2.26732332E8,4599.0,36547.0,44634.0,50.0,50.0,37179.0,43007.0,42418.0,5000.0,38686.0,4781.0,49000.0,2.01530032E8,46610.0,"201021011",49.0,4686.0,"Daylesford",45981.0,32678.0,2.33048119E8,50440.0,4931.0,5276.0,5176.0,2.13395636E8,2.66121882E8
590,46.0,36572.0,1.1427464E8,8.8728571E7,40423.0,46.0,45.0,46.0,38391.0,1.01211592E8,2122.0,40861.0,43803.0,46.0,46.0,42230.0,43143.0,41814.0,2241.0,44154.0,2191.0,48035.0,9.2283649E7,46709.0,"201031015",45.0,2139.0,"Golden Plains - North",45756.0,38266.0,1.04674375E8,50394.0,2212.0,2461.0,2379.0,9.5972906E7,1.24018845E8
1016,49.0,31801.0,6.6436034E7,5.2238162E7,35997.0,49.0,48.0,49.0,36401.0,6.8579493E7,1448.0,34324.0,43259.0,49.0,49.0,35436.0,43121.0,36076.0,1500.0,40771.0,1458.0,42397.0,6.3086692E7,41955.0,"216021412",49.0,1463.0,"Moira",45237.0,36313.0,6.29322E7,48208.0,1516.0,1551.0,1567.0,6.3071068E7,7.4770378E7
1017,47.0,33750.0,2.86587929E8,2.47054012E8,38193.0,47.0,46.0,47.0,37464.0,2.95514029E8,6480.0,37413.0,41703.0,46.0,47.0,37701.0,38269.0,38126.0,6792.0,39931.0,6548.0,41874.0,2.49132775E8,41316.0,"216021413",46.0,6510.0,"Numurkah",43995.0,34024.0,2.80616385E8,44383.0,6717.0,6894.0,6844.0,2.73072389E8,3.05979172E8
596,42.0,38827.0,2.73848009E8,2.34393952E8,43213.0,42.0,42.0,42.0,41626.0,2.48777938E8,4938.0,44717.0,49064.0,42.0,43.0,45009.0,49304.0,47467.0,4844.0,46562.0,4842.0,53538.0,2.37448021E8,52722.0,"202011021",41.0,4816.0,"Flora Hill - Spring Gully",51326.0,40824.0,2.55385625E8,54870.0,4847.0,5286.0,5115.0,2.37567951E8,2.90044052E8
597,42.0,38611.0,4.99256549E8,4.1103245E8,41918.0,42.0,42.0,42.0,40818.0,4.65403788E8,9794.0,42622.0,44458.0,42.0,43.0,43032.0,43556.0,41968.0,10109.0,45451.0,9864.0,48010.0,4.27940486E8,47181.0,"202011022",41.0,9825.0,"Kangaroo Flat - Golden Square",46420.0,39753.0,4.76952205E8,49833.0,10026.0,10629.0,10399.0,4.3852973E8,5.29680152E8
598,43.0,43971.0,1.75328025E8,1.37392492E8,47887.0,42.0,42.0,43.0,45989.0,1.60248893E8,2778.0,48283.0,52207.0,43.0,43.0,51435.0,51118.0,49457.0,2986.0,52247.0,2876.0,56980.0,1.44205077E8,55423.0,"202011023",41.0,2821.0,"Maiden Gully",54248.0,45566.0,1.65492822E8,59251.0,2954.0,3163.0,3077.0,1.50147672E8,1.87409371E8
599,44.0,45016.0,3.37210249E8,2.39766785E8,50091.0,44.0,43.0,44.0,48633.0,3.09496847E8,4408.0,51036.0,59180.0,44.0,44.0,51967.0,57426.0,54394.0,5079.0,53073.0,4798.0,62078.0,2.64391419E8,61390.0,"202011024",43.0,4604.0,"Strathfieldsaye",61396.0,47590.0,3.11797724E8,64329.0,5041.0,5666.0,5432.0,2.83947178E8,3.64486241E8
1018,47.0,34884.0,1.95916515E8,1.58759551E8,37587.0,47.0,47.0,48.0,37117.0,1.7957439E8,3712.0,38477.0,46131.0,48.0,47.0,38835.0,43621.0,42769.0,3938.0,40572.0,3770.0,47691.0,1.60786368E8,46072.0,"216021414",46.0,3686.0,"Yarrawonga",46270.0,36718.0,1.81431504E8,48313.0,3881.0,4210.0,4108.0,1.73914366E8,2.03397166E8
695,33.0,56409.0,3549726.0,4168588.0,67040.0,32.0,29.0,32.0,69080.0,4282589.0,67.0,48518.0,73763.0,32.0,35.0,60511.0,71078.0,62218.0,45.0,51725.0,59.0,75526.0,3980373.0,74294.0,"206041120",29.0,56.0,"Flemington Racecourse",79307.0,62290.0,3343208.0,61137.0,54.0,59.0,47.0,4352003.0,3607084.0
743,46.0,49651.0,5.79429162E8,4.68961174E8,54341.0,46.0,45.0,46.0,54121.0,5.39411986E8,6192.0,56498.0,82193.0,46.0,46.0,57439.0,78736.0,75737.0,6444.0,57777.0,6323.0,86366.0,4.93676134E8,84284.0,"207031167",45.0,6270.0,"Surrey Hills (East) - Mont Albert",83760.0,53103.0,5.43123546E8,87699.0,6440.0,6842.0,6709.0,5.19706269E8,6.00035452E8
747,43.0,47532.0,5.06625647E8,3.58612483E8,52148.0,43.0,43.0,43.0,50601.0,4.3376614E8,5901.0,54273.0,66158.0,43.0,43.0,55336.0,63763.0,60771.0,6647.0,57299.0,6167.0,72159.0,3.79007833E8,70478.0,"208011171",43.0,5944.0,"Cheltenham - Highett (West)",67765.0,49469.0,4.68465458E8,75767.0,6401.0,7219.0,7021.0,4.07999202E8,5.46962128E8
1032,47.0,36107.0,1.86553541E8,1.8271335E8,39581.0,47.0,47.0,47.0,38655.0,2.11560657E8,4290.0,36424.0,47817.0,47.0,47.0,36076.0,34958.0,42591.0,4338.0,36852.0,4302.0,43174.0,1.47905362E8,43207.0,"217031475",46.0,4231.0,"Corangamite - South",47810.0,30203.0,1.87430573E8,44325.0,4425.0,4377.0,4321.0,2.05707518E8,1.94008497E8
697,29.0,35171.0,1.234101152E9,7.3660403E8,32697.0,29.0,29.0,30.0,33627.0,9.81754398E8,13457.0,31242.0,57011.0,29.0,29.0,28068.0,54176.0,54738.0,20622.0,28806.0,16065.0,51261.0,8.21956145E8,53292.0,"206041122",29.0,15172.0,"Melbourne",53183.0,34159.0,1.09898543E9,51528.0,18460.0,26083.0,24075.0,9.15887468E8,1.343994469E9
759,44.0,44070.0,5.01742273E8,3.83694841E8,48549.0,44.0,44.0,44.0,47223.0,4.4627483E8,7052.0,50016.0,58427.0,44.0,44.0,51321.0,57467.0,54409.0,7676.0,53287.0,7299.0,64359.0,4.08817882E8,62651.0,"208021427",43.0,7114.0,"Bentleigh East (South)",60365.0,46572.0,4.80909398E8,67723.0,7393.0,8086.0,7796.0,4.26460351E8,5.47607602E8
1033,52.0,31038.0,1.02406124E8,8.2987753E7,31322.0,51.0,51.0,51.0,30555.0,9.0423752E7,2110.0,33020.0,39769.0,51.0,52.0,32563.0,36936.0,39331.0,2212.0,33929.0,2176.0,44236.0,8.0409068E7,42426.0,"217031476",51.0,2177.0,"Otway",40640.0,28549.0,9.3845375E7,44755.0,2225.0,2297.0,2315.0,8.6537093E7,1.02803242E8
1034,46.0,36423.0,1.90473842E8,1.69458805E8,40775.0,46.0,46.0,46.0,38507.0,1.89157162E8,3871.0,40053.0,46722.0,46.0,46.0,41244.0,37883.0,43776.0,3833.0,44000.0,3858.0,49104.0,1.43577417E8,47031.0,"217041477",46.0,3790.0,"Moyne - East",48627.0,32888.0,1.80270013E8,50652.0,3890.0,3954.0,3879.0,1.80252624E8,2.00279038E8
1035,47.0,37042.0,2.96352511E8,2.34509403E8,39961.0,47.0,47.0,48.0,38261.0,2.72780102E8,5401.0,41751.0,46053.0,48.0,47.0,42159.0,42511.0,43420.0,5602.0,43136.0,5435.0,51459.0,2.30790598E8,50307.0,"217041478",46.0,5429.0,"Moyne - West",48280.0,36057.0,2.81819262E8,52080.0,5650.0,5765.0,5759.0,2.50296499E8,3.00242872E8
600,39.0,41961.0,3.60205641E8,2.43379048E8,45654.0,40.0,40.0,39.0,44427.0,3.11549161E8,5315.0,46070.0,48548.0,39.0,39.0,47060.0,47664.0,45791.0,6640.0,49283.0,5846.0,51739.0,2.64060917E8,50746.0,"202011025",40.0,5540.0,"White Hills - Ascot",50258.0,43315.0,3.36956397E8,54304.0,6199.0,7229.0,6962.0,2.83812242E8,3.92563584E8
601,46.0,39968.0,2.45656662E8,1.6930899E8,44661.0,47.0,47.0,46.0,42415.0,2.15543903E8,3463.0,45492.0,52418.0,46.0,46.0,47941.0,49889.0,48891.0,4016.0,49529.0,3776.0,57423.0,1.78253313E8,55570.0,"202021026",46.0,3573.0,"Bendigo Region - South",54184.0,41193.0,2.23168448E8,59455.0,3978.0,4488.0,4278.0,1.97928573E8,2.66833745E8
680,34.0,46006.0,1.121215368E9,8.01470506E8,50317.0,34.0,34.0,34.0,47840.0,9.75825882E8,14415.0,51833.0,57814.0,34.0,34.0,51576.0,57142.0,55600.0,16555.0,54409.0,15256.0,63199.0,8.56106429E8,62220.0,"206011105",34.0,14982.0,"Brunswick",60483.0,47348.0,1.030049768E9,66873.0,16134.0,18263.0,17741.0,8.82011487E8,1.221310186E9
