fid, median_age_of_earners_years_2014_15, median_aud_2011_12, sa3_name, sum_aud_2016_17, sum_aud_2011_12, median_aud_2014_15, median_age_of_earners_years_2013_14, median_age_of_earners_years_2012_13, median_aud_2013_14, median_age_of_earners_years_2017_18, sum_aud_2014_15, median_aud_2015_16, earners_persons_2011_12, mean_aud_2013_14, sa3_code, median_age_of_earners_years_2016_17, median_aud_2016_17, median_age_of_earners_years_2015_16, mean_aud_2012_13, mean_aud_2011_12, median_aud_2017_18, earners_persons_2015_16, earners_persons_2013_14, mean_aud_2016_17, sum_aud_2012_13, mean_aud_2015_16, median_age_of_earners_years_2011_12, earners_persons_2012_13, median_aud_2012_13, mean_aud_2014_15, sum_aud_2015_16, mean_aud_2017_18, earners_persons_2014_15, earners_persons_2017_18, earners_persons_2016_17, sum_aud_2013_14, sum_aud_2017_18
102,48.0,36643.0,"Wangaratta - Benalla",1.267625068E9,1.07E9,40107.0,48.0,47.0,38833.0,48.0,1.21E9,41113.0,25438.0,45608.0,"20402",48.0,42005.0,48.0,43564.0,41949.0,43297.0,25652.0,25499.0,48745.0,1.11E9,47658.0,47.0,25431.0,37282.0,46974.0,1.22E9,50429.0,25766.0,26494.0,26005.0,1.16E9,1.336068752E9
103,45.0,39166.0,"Wodonga - Alpine",2.088135724E9,1.66E9,43526.0,45.0,45.0,41854.0,45.0,1.96E9,44090.0,37171.0,47962.0,"20403",45.0,44721.0,45.0,45851.0,44744.0,45842.0,39619.0,38273.0,51127.0,1.73E9,50427.0,45.0,37630.0,40349.0,49771.0,2.0E9,52257.0,39313.0,42077.0,40842.0,1.84E9,2.198830671E9
104,46.0,38089.0,"Baw Baw",1.470727342E9,1.13E9,41460.0,46.0,45.0,40516.0,46.0,1.32E9,42018.0,24231.0,49386.0,"20501",46.0,42551.0,46.0,47087.0,46742.0,44528.0,27014.0,25194.0,52259.0,1.16E9,51143.0,45.0,24605.0,38536.0,50842.0,1.38E9,53942.0,25918.0,29134.0,28143.0,1.24E9,1.571536301E9
105,50.0,33033.0,"Gippsland - East",1.084611005E9,9.09E8,36656.0,49.0,49.0,35285.0,50.0,1.03E9,37000.0,22537.0,43183.0,"20502",50.0,37704.0,50.0,41628.0,40335.0,38281.0,23191.0,22814.0,45737.0,9.37E8,44842.0,49.0,22501.0,34211.0,44443.0,1.04E9,45787.0,23087.0,24324.0,23714.0,9.85E8,1.113726819E9
106,49.0,34178.0,"Gippsland - South West",1.575558817E9,1.32E9,36228.0,48.0,48.0,34949.0,49.0,1.46E9,36250.0,31169.0,43689.0,"20503",49.0,36780.0,49.0,40873.0,42361.0,38327.0,32867.0,31516.0,46177.0,1.27E9,45608.0,48.0,31158.0,33206.0,45179.0,1.5E9,47625.0,32245.0,35245.0,34120.0,1.38E9,1.678543075E9
107,44.0,41458.0,"Latrobe Valley",2.178819042E9,1.93E9,45388.0,44.0,44.0,43964.0,44.0,2.13E9,46487.0,36818.0,55775.0,"20504",44.0,46233.0,44.0,54369.0,52342.0,47457.0,36748.0,36399.0,58306.0,1.97E9,58630.0,43.0,36190.0,42917.0,57704.0,2.15E9,58890.0,36908.0,37976.0,37369.0,2.03E9,2.236402013E9
108,46.0,38273.0,"Wellington",1.206148103E9,1.07E9,41999.0,46.0,46.0,40782.0,46.0,1.25E9,41801.0,21972.0,53504.0,"20505",46.0,41882.0,46.0,49583.0,48847.0,43425.0,22567.0,21937.0,52871.0,1.08E9,53654.0,46.0,21820.0,38197.0,55290.0,1.21E9,53873.0,22551.0,23014.0,22813.0,1.17E9,1.239838321E9
109,36.0,45611.0,"Brunswick - Coburg",3.57041391E9,2.55E9,49482.0,36.0,36.0,47638.0,36.0,3.09E9,51331.0,46764.0,57370.0,"20601",35.0,51979.0,36.0,56506.0,54589.0,54129.0,53195.0,49388.0,63027.0,2.72E9,61743.0,36.0,48169.0,47160.0,59872.0,3.28E9,65938.0,51531.0,58531.0,56649.0,2.83E9,3.8594435E9
110,39.0,48870.0,"Darebin - South",2.382360525E9,1.76E9,53084.0,39.0,39.0,51911.0,39.0,2.08E9,54847.0,28297.0,65332.0,"20602",39.0,56374.0,39.0,63310.0,62034.0,59045.0,32105.0,29701.0,71875.0,1.83E9,69498.0,38.0,28927.0,50283.0,67311.0,2.23E9,75077.0,30863.0,34149.0,33146.0,1.94E9,2.56379106E9
111,40.0,50676.0,"Essendon",3.189975149E9,2.39E9,54714.0,40.0,40.0,53053.0,39.0,2.83E9,55927.0,36133.0,69805.0,"20603",39.0,56445.0,40.0,68536.0,66044.0,58488.0,40556.0,37841.0,75202.0,2.52E9,73737.0,40.0,36815.0,52384.0,71898.0,2.99E9,77808.0,39310.0,43943.0,42419.0,2.64E9,3.419103175E9
112,32.0,45922.0,"Melbourne City",5.930474495E9,3.86E9,47298.0,31.0,31.0,47784.0,32.0,5.0E9,47340.0,57969.0,70544.0,"20604",32.0,44400.0,32.0,67489.0,66565.0,45815.0,77636.0,66283.0,68267.0,4.23E9,70063.0,31.0,62694.0,46981.0,68949.0,5.44E9,69824.0,72450.0,93501.0,86872.0,4.68E9,6.528592131E9
113,37.0,55255.0,"Port Phillip",6.288992806E9,4.8E9,58932.0,37.0,37.0,57498.0,38.0,5.75E9,60298.0,61024.0,82752.0,"20605",37.0,60049.0,37.0,80251.0,78637.0,62326.0,68513.0,65604.0,86434.0,5.09E9,86482.0,36.0,63429.0,57039.0,84064.0,5.93E9,90284.0,68400.0,74768.0,72761.0,5.43E9,6.750347947E9
118,44.0,41675.0,"Whitehorse - West",3.763724513E9,3.06E9,44681.0,44.0,43.0,44059.0,42.0,3.5E9,45294.0,54194.0,60128.0,"20703",43.0,44142.0,44.0,58702.0,56471.0,44665.0,57384.0,55612.0,62083.0,3.21E9,62240.0,43.0,54729.0,43315.0,61266.0,3.57E9,63245.0,57124.0,62950.0,60624.0,3.34E9,3.981255673E9
119,48.0,52228.0,"Bayside",6.478309871E9,5.05E9,57355.0,48.0,48.0,55569.0,48.0,5.98E9,58913.0,57350.0,95100.0,"20801",48.0,59884.0,48.0,90435.0,88057.0,61068.0,62804.0,59596.0,100841.0,5.26E9,99223.0,47.0,58199.0,53879.0,97137.0,6.23E9,105625.0,61560.0,65600.0,64243.0,5.67E9,6.928988339E9
124,38.0,40411.0,"Darebin - North",2.832612366E9,2.11E9,43873.0,39.0,39.0,42572.0,38.0,2.47E9,45447.0,44607.0,50112.0,"20902",38.0,46245.0,38.0,49180.0,47197.0,47444.0,49472.0,46175.0,54533.0,2.22E9,53191.0,38.0,45216.0,42031.0,51698.0,2.63E9,56255.0,47806.0,54204.0,51943.0,2.31E9,3.049227637E9
125,46.0,46540.0,"Nillumbik - Kinglake",2.917396407E9,2.43E9,50300.0,46.0,45.0,49090.0,46.0,2.68E9,51847.0,39859.0,64009.0,"20903",46.0,53177.0,46.0,63015.0,60840.0,55094.0,41269.0,40168.0,69420.0,2.51E9,67470.0,45.0,39834.0,47984.0,65366.0,2.78E9,71590.0,40935.0,42738.0,42025.0,2.57E9,3.059603877E9
126,39.0,42514.0,"Whittlesea - Wallan",6.345702274E9,4.35E9,45586.0,39.0,39.0,44817.0,38.0,5.42E9,46814.0,91994.0,49891.0,"20904",38.0,47483.0,39.0,49197.0,47307.0,48923.0,110854.0,100503.0,53455.0,4.72E9,52318.0,39.0,95991.0,44035.0,51068.0,5.8E9,55316.0,106107.0,124022.0,118712.0,5.01E9,6.860341059E9
127,44.0,45158.0,"Keilor",2.253836333E9,1.75E9,49243.0,44.0,44.0,47903.0,44.0,2.04E9,50895.0,31695.0,59173.0,"21001",44.0,52170.0,44.0,57133.0,55071.0,54247.0,33903.0,32548.0,64647.0,1.82E9,63121.0,43.0,31856.0,46526.0,60503.0,2.14E9,67170.0,33647.0,35642.0,34864.0,1.93E9,2.394058546E9
128,46.0,44845.0,"Macedon Ranges",1.213653016E9,9.12E8,49034.0,46.0,45.0,47239.0,46.0,1.07E9,50584.0,15943.0,61026.0,"21002",46.0,52562.0,46.0,58328.0,57203.0,54286.0,17369.0,16597.0,67317.0,9.45E8,64199.0,45.0,16209.0,45464.0,62916.0,1.12E9,69445.0,16995.0,18532.0,18029.0,1.01E9,1.286950376E9
121,44.0,45465.0,"Kingston",4.653473219E9,3.56E9,49999.0,43.0,43.0,48481.0,44.0,4.17E9,51315.0,64476.0,59175.0,"20803",44.0,52721.0,44.0,57384.0,55166.0,54761.0,69575.0,66560.0,64947.0,3.74E9,62987.0,43.0,65167.0,47176.0,61070.0,4.38E9,67571.0,68262.0,73425.0,71650.0,3.94E9,4.961400209E9
122,43.0,53152.0,"Stonnington - East",2.797880265E9,2.26E9,59200.0,43.0,43.0,57316.0,43.0,2.62E9,60841.0,25058.0,97067.0,"20804",44.0,61429.0,44.0,92340.0,90035.0,62713.0,26116.0,25496.0,101845.0,2.35E9,101451.0,42.0,25418.0,55782.0,100018.0,2.65E9,106545.0,26222.0,28214.0,27472.0,2.47E9,3.0060699E9
123,44.0,46040.0,"Banyule",4.992138455E9,4.02E9,50398.0,43.0,43.0,48840.0,43.0,4.57E9,51515.0,68868.0,61868.0,"20901",43.0,52841.0,43.0,60313.0,58388.0,54519.0,72822.0,69742.0,67428.0,4.16E9,65720.0,43.0,69042.0,47551.0,64280.0,4.79E9,70497.0,71097.0,76202.0,74037.0,4.31E9,5.371975506E9
129,38.0,41001.0,"Moreland - North",2.298677633E9,1.58E9,44788.0,38.0,39.0,43593.0,37.0,1.94E9,46270.0,33469.0,50481.0,"21003",37.0,47674.0,38.0,49610.0,47355.0,49212.0,38686.0,35746.0,55294.0,1.71E9,53870.0,39.0,34388.0,42837.0,51852.0,2.08E9,57381.0,37390.0,43573.0,41572.0,1.8E9,2.500272674E9
130,43.0,45546.0,"Sunbury",1.396884644E9,1.11E9,48630.0,43.0,42.0,47653.0,42.0,1.25E9,50319.0,21315.0,55165.0,"21004",42.0,51008.0,43.0,54049.0,52256.0,53011.0,22832.0,21610.0,58663.0,1.15E9,57928.0,42.0,21302.0,47009.0,56143.0,1.32E9,60820.0,22344.0,24740.0,23812.0,1.19E9,1.504689315E9
131,38.0,40314.0,"Tullamarine - Broadmeadows",4.054459377E9,2.85E9,42902.0,39.0,39.0,42238.0,37.0,3.45E9,44060.0,62796.0,47484.0,"21005",37.0,44842.0,38.0,46948.0,45309.0,45705.0,75220.0,67741.0,50690.0,3.03E9,49636.0,39.0,64622.0,41654.0,48370.0,3.73E9,51928.0,71366.0,85723.0,79985.0,3.22E9,4.451448362E9
132,43.0,43102.0,"Knox",5.313980477E9,4.48E9,46226.0,43.0,43.0,45214.0,43.0,4.93E9,47264.0,88878.0,53024.0,"21101",43.0,47969.0,43.0,51994.0,50421.0,49538.0,92385.0,89468.0,56499.0,4.61E9,55511.0,43.0,88626.0,44268.0,54180.0,5.13E9,58190.0,91079.0,96222.0,94055.0,4.74E9,5.599204136E9
133,47.0,46137.0,"Manningham - East",1.326778906E9,1.12E9,49711.0,47.0,47.0,48693.0,48.0,1.25E9,51063.0,16153.0,74234.0,"21102",48.0,51711.0,47.0,71889.0,69268.0,52509.0,16838.0,16354.0,78064.0,1.17E9,76605.0,46.0,16211.0,47884.0,74825.0,1.29E9,79552.0,16762.0,17319.0,16996.0,1.21E9,1.377753724E9
134,43.0,43510.0,"Maroondah",3.863280045E9,3.09E9,47192.0,43.0,43.0,45866.0,43.0,3.52E9,48401.0,60360.0,54369.0,"21103",43.0,49443.0,43.0,53055.0,51215.0,50908.0,64522.0,61600.0,58581.0,3.21E9,57223.0,42.0,60523.0,44999.0,55807.0,3.69E9,60544.0,63129.0,67380.0,65948.0,3.35E9,4.079463489E9
135,44.0,42348.0,"Whitehorse - East",2.189463048E9,1.8E9,45527.0,44.0,44.0,45053.0,44.0,2.02E9,46442.0,34016.0,55818.0,"21104",44.0,47172.0,44.0,54002.0,52947.0,48346.0,35667.0,34737.0,59330.0,1.86E9,57997.0,44.0,34391.0,43865.0,56633.0,2.07E9,60476.0,35635.0,37736.0,36903.0,1.94E9,2.282117235E9
136,44.0,41235.0,"Yarra Ranges",5.0667925E9,4.1E9,44966.0,44.0,44.0,43553.0,44.0,4.65E9,46407.0,83676.0,52025.0,"21105",44.0,47516.0,44.0,50810.0,48994.0,49154.0,87375.0,84489.0,56295.0,4.25E9,55163.0,44.0,83563.0,42429.0,53521.0,4.82E9,58866.0,86789.0,91418.0,90005.0,4.4E9,5.381390815E9
137,41.0,42234.0,"Cardinia",3.058683516E9,2.11E9,46041.0,41.0,41.0,44720.0,40.0,2.62E9,47309.0,42951.0,51791.0,"21201",40.0,48202.0,40.0,50646.0,49195.0,49988.0,51941.0,46407.0,55361.0,2.25E9,54309.0,41.0,44400.0,43578.0,53230.0,2.82E9,57416.0,49244.0,58584.0,55250.0,2.4E9,3.363653754E9
114,36.0,56007.0,"Stonnington - West",5.027800426E9,3.7E9,61062.0,36.0,36.0,59039.0,36.0,4.61E9,60362.0,37973.0,104392.0,"20606",35.0,62021.0,35.0,97773.0,97387.0,65300.0,44986.0,41298.0,106870.0,3.85E9,105934.0,37.0,39361.0,57899.0,106719.0,4.77E9,110009.0,43205.0,48210.0,47046.0,4.31E9,5.30355774E9
115,35.0,52794.0,"Yarra",4.960694138E9,3.39E9,57449.0,35.0,35.0,55698.0,35.0,4.25E9,59232.0,48363.0,74676.0,"20607",35.0,60340.0,35.0,72235.0,70067.0,63460.0,56896.0,52908.0,80827.0,3.62E9,78428.0,35.0,50161.0,54453.0,76312.0,4.46E9,83836.0,55714.0,62702.0,61374.0,3.95E9,5.256692952E9
116,45.0,51550.0,"Boroondara",1.0827367574E10,8.81E9,56447.0,45.0,45.0,55075.0,45.0,1.0E10,57307.0,101701.0,92562.0,"20701",45.0,57293.0,45.0,88914.0,86627.0,58284.0,109899.0,104445.0,96236.0,9.15E9,95761.0,45.0,102938.0,53695.0,93625.0,1.05E10,97432.0,107141.0,115444.0,112509.0,9.67E9,1.1247917645E10
117,47.0,40169.0,"Manningham - West",3.441794291E9,2.94E9,42787.0,47.0,47.0,41766.0,46.0,3.25E9,43417.0,52257.0,58933.0,"20702",46.0,43404.0,47.0,57754.0,56205.0,44065.0,54600.0,52882.0,61747.0,3.03E9,61552.0,46.0,52472.0,41597.0,60253.0,3.36E9,63001.0,53893.0,57317.0,55740.0,3.12E9,3.611046129E9
120,42.0,46852.0,"Glen Eira",7.008553896E9,5.34E9,51936.0,42.0,42.0,50482.0,42.0,6.33E9,53056.0,83686.0,69238.0,"20802",42.0,54011.0,42.0,66525.0,63786.0,55127.0,91143.0,86662.0,74767.0,5.65E9,73049.0,42.0,84977.0,49217.0,71149.0,6.66E9,76186.0,89012.0,97024.0,93739.0,6.0E9,7.391865701E9
138,42.0,42450.0,"Casey - North",4.091264128E9,3.36E9,45302.0,42.0,42.0,44308.0,41.0,3.75E9,46323.0,67229.0,52410.0,"21202",42.0,46920.0,42.0,51511.0,49936.0,48331.0,72080.0,68183.0,55572.0,3.46E9,54777.0,41.0,67186.0,43686.0,53450.0,3.95E9,57760.0,70197.0,75589.0,73621.0,3.57E9,4.366047076E9
139,39.0,42888.0,"Casey - South",5.121249878E9,3.31E9,46024.0,39.0,39.0,45225.0,38.0,4.17E9,47011.0,69913.0,49425.0,"21203",38.0,47945.0,38.0,48407.0,47304.0,49171.0,89296.0,78108.0,52823.0,3.53E9,51544.0,39.0,73004.0,44330.0,50284.0,4.6E9,54154.0,82919.0,104289.0,96952.0,3.86E9,5.647710249E9
140,39.0,37168.0,"Dandenong",4.594930836E9,3.53E9,39855.0,39.0,39.0,39085.0,38.0,4.08E9,40471.0,84899.0,43805.0,"21204",38.0,40910.0,38.0,43110.0,41553.0,42047.0,94804.0,87389.0,46567.0,3.67E9,45640.0,39.0,85221.0,38411.0,44800.0,4.33E9,48207.0,91038.0,103067.0,98674.0,3.83E9,4.968544365E9
141,43.0,40189.0,"Monash",5.959547555E9,4.89E9,43882.0,43.0,43.0,42827.0,42.0,5.54E9,44498.0,94209.0,55548.0,"21205",43.0,44215.0,43.0,54139.0,51875.0,44846.0,98517.0,95736.0,58333.0,5.13E9,58084.0,43.0,94730.0,41796.0,56765.0,5.72E9,59613.0,97552.0,106136.0,102165.0,5.32E9,6.327044989E9
142,39.0,39652.0,"Brimbank",4.697276556E9,3.77E9,41927.0,39.0,39.0,41377.0,38.0,4.26E9,42740.0,85973.0,45995.0,"21301",38.0,43160.0,38.0,45298.0,43887.0,44352.0,94192.0,87827.0,48770.0,3.9E9,47827.0,39.0,85990.0,40792.0,46770.0,4.5E9,50192.0,91017.0,99311.0,96314.0,4.04E9,4.984589436E9
143,42.0,47465.0,"Hobsons Bay",3.380488246E9,2.56E9,52469.0,42.0,42.0,50867.0,42.0,3.0E9,54352.0,44127.0,62122.0,"21302",42.0,55239.0,42.0,60475.0,57917.0,57600.0,47657.0,45636.0,68701.0,2.69E9,66925.0,42.0,44433.0,49631.0,64353.0,3.19E9,71787.0,46638.0,50309.0,49206.0,2.83E9,3.611534281E9
144,36.0,44891.0,"Maribyrnong",3.048989722E9,2.12E9,48594.0,36.0,36.0,47362.0,36.0,2.61E9,49523.0,40047.0,56097.0,"21303",36.0,50817.0,36.0,55066.0,52824.0,52337.0,47414.0,42855.0,60938.0,2.27E9,59248.0,36.0,41264.0,46544.0,57698.0,2.81E9,63413.0,45175.0,51991.0,50034.0,2.4E9,3.296907412E9
145,39.0,45001.0,"Melton - Bacchus Marsh",4.407686038E9,3.36E9,48172.0,39.0,39.0,47056.0,39.0,4.08E9,49483.0,67242.0,52623.0,"21304",40.0,50091.0,39.0,51844.0,49996.0,51500.0,78689.0,72139.0,56471.0,3.58E9,55339.0,39.0,69144.0,46333.0,53843.0,4.35E9,58261.0,75837.0,88817.0,78052.0,3.8E9,5.174592519E9
146,37.0,45633.0,"Wyndham",7.181658386E9,4.81E9,47926.0,37.0,37.0,47367.0,37.0,6.02E9,48563.0,94404.0,53274.0,"21305",37.0,49031.0,37.0,52693.0,50948.0,50077.0,116580.0,104235.0,55955.0,5.23E9,55005.0,37.0,99234.0,46861.0,54147.0,6.41E9,57408.0,111234.0,137787.0,128347.0,5.55E9,7.910061277E9
147,42.0,41874.0,"Frankston",4.218736101E9,3.34E9,45704.0,42.0,42.0,44371.0,42.0,3.82E9,47259.0,69959.0,50591.0,"21401",42.0,48613.0,42.0,49419.0,47717.0,50037.0,74798.0,71210.0,55459.0,3.46E9,53982.0,41.0,70048.0,43217.0,52171.0,4.04E9,57422.0,73181.0,78481.0,76069.0,3.6E9,4.506515676E9
148,47.0,38348.0,"Mornington Peninsula",5.554698011E9,4.2E9,42104.0,47.0,47.0,40529.0,48.0,4.97E9,43224.0,81436.0,55238.0,"21402",48.0,44455.0,48.0,53281.0,51518.0,45700.0,88693.0,84399.0,60658.0,4.38E9,59166.0,47.0,82168.0,39518.0,56918.0,5.25E9,62300.0,87338.0,93980.0,91574.0,4.66E9,5.854935645E9
149,48.0,37114.0,"Grampians",1.615154794E9,1.41E9,39014.0,47.0,47.0,39933.0,48.0,1.48E9,38463.0,32824.0,48044.0,"21501",48.0,41921.0,48.0,45454.0,43108.0,44839.0,32063.0,32641.0,49079.0,1.48E9,43385.0,47.0,32549.0,38332.0,45273.0,1.39E9,52287.0,32735.0,33363.0,32909.0,1.57E9,1.744454213E9
150,43.0,36473.0,"Mildura",1.407051301E9,1.05E9,40353.0,43.0,43.0,39032.0,43.0,1.25E9,41100.0,25248.0,44904.0,"21502",43.0,41935.0,43.0,43476.0,41655.0,44020.0,26815.0,26281.0,48931.0,1.11E9,47691.0,43.0,25526.0,37809.0,46385.0,1.28E9,50776.0,26893.0,30096.0,28756.0,1.18E9,1.528145903E9
151,47.0,35171.0,"Murray River - Swan Hill",9.72425153E8,8.53E8,37846.0,47.0,46.0,37482.0,47.0,8.94E8,37477.0,20794.0,43942.0,"21503",47.0,39733.0,47.0,43530.0,41045.0,42851.0,20240.0,20610.0,46977.0,8.93E8,43217.0,46.0,20517.0,36519.0,43091.0,8.75E8,50793.0,20750.0,20879.0,20700.0,9.06E8,1.06050947E9
152,46.0,35792.0,"Campaspe",9.88779579E8,8.39E8,40088.0,46.0,46.0,38686.0,47.0,9.65E8,39741.0,20144.0,44865.0,"21601",47.0,40994.0,46.0,42214.0,41647.0,43348.0,20901.0,20258.0,46768.0,8.43E8,45400.0,46.0,19975.0,36759.0,46570.0,9.49E8,49520.0,20720.0,21463.0,21142.0,9.09E8,1.0628531E9
153,47.0,34222.0,"Moira",7.07685147E8,5.88E8,38328.0,47.0,46.0,37281.0,47.0,6.92E8,38283.0,14830.0,43646.0,"21602",47.0,38852.0,47.0,40900.0,39643.0,40902.0,15400.0,14927.0,44950.0,6.06E8,44038.0,46.0,14806.0,35558.0,45336.0,6.78E8,46823.0,15257.0,15887.0,15744.0,6.52E8,7.43870464E8
154,43.0,37369.0,"Shepparton",1.742553515E9,1.45E9,41068.0,44.0,43.0,39795.0,43.0,1.65E9,41845.0,33548.0,46346.0,"21603",44.0,42423.0,43.0,44611.0,43274.0,44309.0,34832.0,33748.0,49398.0,1.49E9,48454.0,43.0,33463.0,38254.0,47718.0,1.69E9,51307.0,34649.0,35873.0,35276.0,1.56E9,1.840520125E9
155,48.0,38072.0,"Glenelg - Southern Grampians",1.039755343E9,9.34E8,40083.0,48.0,47.0,38130.0,48.0,9.73E8,40727.0,20370.0,45933.0,"21701",48.0,42275.0,48.0,43527.0,45842.0,43661.0,20230.0,20052.0,51167.0,8.75E8,49252.0,47.0,20107.0,36343.0,48453.0,9.96E8,52947.0,20072.0,20505.0,20321.0,9.21E8,1.085673859E9
156,47.0,35754.0,"Colac - Corangamite",1.01242293E9,8.87E8,39071.0,47.0,47.0,37935.0,47.0,9.88E8,38916.0,21300.0,44772.0,"21703",47.0,39561.0,47.0,39296.0,41647.0,41389.0,21526.0,21286.0,46105.0,8.33E8,45071.0,46.0,21192.0,34313.0,45806.0,9.7E8,47683.0,21573.0,22375.0,21959.0,9.53E8,1.066908157E9
157,44.0,38662.0,"Warrnambool",1.553426588E9,1.27E9,41610.0,45.0,44.0,40594.0,45.0,1.45E9,42487.0,27921.0,48296.0,"21704",45.0,43520.0,44.0,45303.0,45654.0,45664.0,29364.0,28201.0,51876.0,1.26E9,50305.0,44.0,27830.0,38614.0,49864.0,1.48E9,55942.0,29152.0,30400.0,29945.0,1.36E9,1.700627904E9
